#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
CI|HRV|34.72711|-118.8044|917.9|Hungry Valley SVR State Park|2021-08-24T00:00:00|3000-01-01T00:00:00
CI|HYS|34.86532|-117.56975|833.0|Haystack Butte|1983-09-15T00:00:00|3000-01-01T00:00:00
CI|IDO|33.79678|-116.22152|469.0|Indio Hill|2010-05-04T16:00:00|3000-01-01T00:00:00
CI|IDY|33.74642|-116.71536|1632.0|Idyllwild|2013-10-30T00:00:00|3000-01-01T00:00:00
CI|IKP|32.65012|-116.10948|906.0|In-Ko-Pah|1972-03-29T00:00:00|3000-01-01T00:00:00
CI|IMP|32.90147|-115.56071|-27.0|Imperial|2013-10-29T00:00:00|3000-01-01T00:00:00
CI|IRM|34.15738|-115.14513|567.0|Iron Mountain|2001-12-05T00:00:00|3000-01-01T00:00:00
CI|ISA|35.66278|-118.47403|873.0|Isabella|1946-03-16T00:00:00|3000-01-01T00:00:00
CI|IVY|33.76025|-117.47678|330.0|Ivy Glen|2013-10-30T00:00:00|3000-01-01T00:00:00
CI|JEM|33.08098|-116.59755|1308.0|Julian Eagle Mine|2008-05-01T21:42:40|3000-01-01T00:00:00
CI|JNH2|34.448941|-117.95541|1305.0|Juniper Hills 2|2013-07-26T00:00:00|3000-01-01T00:00:00
CI|JPLS|34.2053|-118.17368|465.6|JPL Station at Mesa Rd.|2019-12-24T00:00:00|3000-01-01T00:00:00
CI|JRC2|35.98249|-117.80885|1469.0|Joshua Ridge: China Lake|2004-01-15T00:00:00|3000-01-01T00:00:00
CI|JTH|34.12644|-116.03785|609.4|Joshua Tree National Park Headquarters|2013-11-04T00:00:00|3000-01-01T00:00:00
CI|JVA|34.36622|-116.61266|904.0|Johnson Valley|2001-04-11T00:00:00|3000-01-01T00:00:00
CI|KIK|34.15037|-118.10156|237.2|Kinemetrics|1995-07-12T00:00:00|3000-01-01T00:00:00
CI|KML|33.59738|-117.87909|9.0|Kerckhoff Marine Laboratory|2003-07-10T00:00:00|3000-01-01T00:00:00
CI|KRV1|35.45962|-118.77905|314.9|Kern River P P #1|2022-02-02T00:00:00|3000-01-01T00:00:00
CI|KRV3|35.77488|-118.434|845.9|Kern River P P #3|2022-02-03T00:00:00|3000-01-01T00:00:00
CI|KYV|33.92545|-116.1734|1498.2|Keys View|2013-11-14T00:00:00|3000-01-01T00:00:00
CI|LAF|33.86889|-118.33143|20.0|La Fresa|1999-10-15T00:00:00|3000-01-01T00:00:00
CI|LAT|34.04449|-118.77643|351.0|Latigo|2013-10-30T00:00:00|3000-01-01T00:00:00
CI|LCG|34.00033|-118.37794|108.0|La Cienega|1999-10-27T00:00:00|3000-01-01T00:00:00
CI|LCP|34.73551|-120.27996|199.0|Los Alamos County Park|2001-11-14T00:00:00|3000-01-01T00:00:00
CI|LDF|35.13066|-115.18416|1239.0|Lanfair|1999-11-17T00:00:00|3000-01-01T00:00:00
